EDAD,SEXO,TALLA,DS3_,DS2_,DS1_,DS0,DS1,DS2,DS3
5,2,48.5,2.4,2.6,2.8,3.1,3.4,3.7,4.1
5,2,49.0,2.4,2.6,2.9,3.2,3.5,3.85,4.25
5,2,49.5,2.5,2.7,3.0,3.3,3.6,3.95,4.35
5,2,50.0,2.6,2.8,3.1,3.4,3.7,4.05,4.5
5,2,50.5,2.7,2.9,3.2,3.5,3.8,4.2,4.65
5,2,51.0,2.8,3.0,3.3,3.6,3.95,4.3,4.75
5,2,51.5,2.8,3.1,3.4,3.7,4.05,4.45,4.9
5,2,52.0,2.9,3.2,3.5,3.8,4.2,4.6,5.1
5,2,52.5,3.0,3.3,3.6,3.9,4.3,4.75,5.25
5,2,53.0,3.1,3.4,3.7,4.0,4.45,4.9,5.4
5,2,53.5,3.2,3.5,3.8,4.2,4.6,5.05,5.55
5,2,54.0,3.3,3.6,3.9,4.3,4.75,5.2,5.75
5,2,54.5,3.4,3.7,4.0,4.4,4.85,5.35,5.9
5,2,55.0,3.5,3.8,4.2,4.5,5.0,5.5,6.1
5,2,55.5,3.6,3.9,4.3,4.7,5.15,5.7,6.3
5,2,56.0,3.7,4.0,4.4,4.8,5.3,5.85,6.45
5,2,56.5,3.8,4.1,4.5,5.0,5.45,6.0,6.65
5,2,57.0,3.9,4.3,4.6,5.1,5.6,6.2,6.8
5,2,57.5,4.0,4.4,4.8,5.2,5.75,6.35,7.0
5,2,58.0,4.1,4.5,4.9,5.4,5.9,6.5,7.2
5,2,58.5,4.2,4.6,5.0,5.5,6.05,6.65,7.35
5,2,59.0,4.3,4.7,5.1,5.6,6.2,6.8,7.55
5,2,59.5,4.4,4.8,5.3,5.7,6.35,6.95,7.7
5,2,60.0,4.5,4.9,5.4,5.9,6.45,7.15,7.9
5,2,60.5,4.6,5.0,5.5,6.0,6.6,7.3,8.05
5,2,61.0,4.7,5.1,5.6,6.1,6.75,7.45,8.2
5,2,61.5,4.8,5.2,5.7,6.3,6.9,7.6,8.4
5,2,62.0,4.9,5.3,5.8,6.4,7.05,7.75,8.55
5,2,62.5,5.0,5.4,5.9,6.5,7.15,7.9,8.7
5,2,63.0,5.1,5.5,6.0,6.6,7.3,8.0,8.85
5,2,63.5,5.2,5.6,6.2,6.7,7.4,8.15,9.0
5,2,64.0,5.3,5.7,6.3,6.9,7.55,8.3,9.2
5,2,64.5,5.4,5.8,6.4,7.0,7.65,8.45,9.35
5,2,65.0,5.5,5.9,6.5,7.1,7.8,8.6,9.5
5,2,65.5,5.5,6.0,6.6,7.2,7.9,8.7,9.65
5,2,66.0,5.6,6.1,6.7,7.3,8.05,8.85,9.8
5,2,66.5,5.7,6.2,6.8,7.4,8.15,9.0,9.95
5,2,67.0,5.8,6.3,6.9,7.5,8.3,9.1,10.1
5,2,67.5,5.9,6.4,7.0,7.6,8.4,9.25,10.2
5,2,68.0,6.0,6.5,7.1,7.7,8.5,9.4,10.35
5,2,68.5,6.1,6.6,7.2,7.9,8.65,9.5,10.5
5,2,69.0,6.1,6.7,7.3,8.0,8.75,9.65,10.65
5,2,69.5,6.2,6.8,7.4,8.1,8.85,9.75,10.75
5,2,70.0,6.3,6.9,7.5,8.2,9.0,9.9,10.9
5,2,70.5,6.4,6.9,7.6,8.3,9.1,10.0,11.05
5,2,71.0,6.5,7.0,7.7,8.4,9.2,10.1,11.2
5,2,71.5,6.5,7.1,7.7,8.5,9.3,10.25,11.3
5,2,72.0,6.6,7.2,7.8,8.6,9.6,10.55,11.6
5,2,72.5,6.7,7.3,7.9,8.7,9.7,10.65,11.75
5,2,73.0,6.8,7.4,8.0,8.8,9.8,10.8,11.9
5,2,73.5,6.9,7.4,8.1,8.9,9.9,10.9,12.0
5,2,74.0,6.9,7.5,8.2,9.0,10.0,11.0,12.15
5,2,74.5,7.0,7.6,8.3,9.1,10.1,11.1,12.25
5,2,75.0,7.1,7.7,8.4,9.1,10.2,11.2,12.4
5,2,75.5,7.1,7.8,8.5,9.2,10.3,11.3,12.5
5,2,76.0,7.2,7.8,8.5,9.3,10.4,11.45,12.6
5,2,76.5,7.3,7.9,8.6,9.4,10.5,11.55,12.75
5,2,77.0,7.4,8.0,8.7,9.5,10.6,11.65,12.85
5,2,77.5,7.4,8.1,8.8,9.6,10.7,11.75,12.95
5,2,78.0,7.5,8.2,8.9,9.7,10.8,11.9,13.1
5,2,78.5,7.6,8.2,9.0,9.8,10.9,12.0,13.2
5,2,79.0,7.7,8.3,9.1,9.9,11.0,12.1,13.35
5,2,79.5,7.7,8.4,9.1,10.0,11.1,12.2,13.5
5,2,80.0,7.8,8.5,9.2,10.1,11.25,12.35,13.6
5,2,80.5,7.9,8.6,9.3,10.2,11.35,12.45,13.75
5,2,81.0,8.0,8.7,9.4,10.3,11.45,12.6,13.9
5,2,81.5,8.1,8.8,9.5,10.4,11.6,12.75,14.05
5,2,82.0,8.1,8.8,9.6,10.5,11.7,12.9,14.2
5,2,82.5,8.2,8.9,9.7,10.6,11.85,13.0,14.35
5,2,83.0,8.3,9.0,9.8,10.7,12.0,13.15,14.5
5,2,83.5,8.4,9.1,9.9,10.9,12.1,13.3,14.65
5,2,84.0,8.5,9.2,10.1,11.0,12.25,13.45,14.8
5,2,84.5,8.6,9.3,10.2,11.1,12.4,13.6,15.0
5,2,85.0,8.8,9.6,10.4,11.4,12.5,13.75,15.15
5,2,85.5,8.9,9.7,10.6,11.5,12.65,13.9,15.3
5,2,86.0,9.0,9.8,10.7,11.6,12.08,14.05,15.5
5,2,86.5,9.1,9.9,10.8,11.8,12.9,14.2,15.65
5,2,87.0,9.2,10.0,10.9,11.9,13.05,14.35,15.8
5,2,87.5,9.3,10.1,11.0,12.0,13.2,14.5,16.0
5,2,88.0,9.4,10.2,11.1,12.1,13.35,14.65,16.15
5,2,88.5,9.5,10.3,11.2,12.3,13.5,14.8,16.3
5,2,89.0,9.6,10.4,11.4,12.4,13.6,14.95,16.45
5,2,89.5,9.7,10.5,11.5,12.5,13.75,15.1,16.65
5,2,90.0,9.8,10.6,11.6,12.6,13.9,15.25,16.85
5,2,90.5,9.9,10.7,11.7,12.8,14.0,15.4,17.0
5,2,91.0,10.0,10.9,11.8,12.9,14.15,15.55,17.15
5,2,91.5,10.1,11.0,11.9,13.0,14.3,15.7,17.3
5,2,92.0,10.2,11.1,12.0,13.1,14.4,15.85,17.45
5,2,92.5,10.3,11.2,12.1,13.3,14.6,16.0,17.65
5,2,93.0,10.4,11.3,12.3,13.4,14.7,16.2,17.8
5,2,93.5,10.5,11.4,12.4,13.5,14.85,16.3,18.0
5,2,94.0,10.6,11.5,12.5,13.6,15.0,16.5,18.2
5,2,94.5,10.7,11.6,12.6,13.8,15.1,16.6,18.3
5,2,95.0,10.8,11.7,12.7,13.9,15.25,16.75,18.5
5,2,95.5,10.8,11.8,12.8,14.0,15.4,16.9,18.7
5,2,96.0,10.9,11.9,12.9,14.1,15.55,17.1,18.85
5,2,96.5,11.0,12.0,13.1,14.3,15.7,17.25,19.0
5,2,97.0,11.1,12.1,13.2,14.4,15.8,17.4,19.2
5,2,97.5,11.2,12.2,13.3,14.5,16.0,17.6,19.4
5,2,98.0,11.3,12.3,13.4,14.7,16.1,17.75,19.6
5,2,98.5,11.4,12.4,13.5,14.8,16.3,17.9,19.8
5,2,99.0,11.5,12.5,13.7,14.9,16.4,18.1,20.0
5,2,99.5,11.6,12.7,13.8,15.1,16.6,18.25,20.15
5,2,100.0,11.7,12.8,13.9,15.2,16.8,18.4,20.35
5,2,100.5,11.9,12.9,14.1,15.4,16.9,18.6,20.55
5,2,101.0,12.0,13.0,14.2,15.5,17.1,18.8,20.8
5,2,101.5,12.1,13.1,14.3,15.7,17.2,19.0,21.0
5,2,102.0,12.2,13.3,14.5,15.8,17.4,19.2,21.2
5,2,102.5,12.3,13.4,14.6,16.0,17.6,19.4,21.4
5,2,103.0,12.4,13.5,14.7,16.1,17.75,19.65,21.6
5,2,103.5,12.5,13.6,14.9,16.3,17.9,19.7,21.85
5,2,104.0,12.6,13.8,15.0,16.4,18.1,20.0,22.1
5,2,104.5,12.8,13.9,15.2,16.6,18.3,20.2,22.3
5,2,105.0,12.9,14.0,15.3,16.8,18.5,20.4,22.55
